Sample in Buffer	Sample in Window	/dadata
987	987	243	
988	988	243	
989	989	242	
990	990	241	
991	991	240	
992	992	239	
993	993	238	
994	994	238	
995	995	237	
996	996	236	
997	997	235	
998	998	234	
999	999	234	
1000	1000	233	
1001	1001	232	
1002	1002	231	
1003	1003	230	
1004	1004	229	
1005	1005	228	
1006	1006	227	
1007	1007	226	
1008	1008	225	
1009	1009	224	
1010	1010	223	
1011	1011	222	
1012	1012	221	
1013	1013	220	
1014	1014	219	
1015	1015	218	
1016	1016	217	
1017	1017	215	
1018	1018	214	
1019	1019	213	
1020	1020	212	
1021	1021	211	
1022	1022	210	
1023	1023	208	
1024	1024	207	
1025	1025	206	
1026	1026	205	
1027	1027	203	
1028	1028	202	
1029	1029	201	
1030	1030	200	
1031	1031	198	
1032	1032	196	
1033	1033	194	
1034	1034	193	
1035	1035	192	
1036	1036	190	
1037	1037	189	
1038	1038	188	
1039	1039	186	
1040	1040	185	
1041	1041	183	
1042	1042	182	
1043	1043	181	
1044	1044	179	
1045	1045	178	
1046	1046	176	
1047	1047	175	
1048	1048	173	
1049	1049	172	
1050	1050	170	
1051	1051	169	
1052	1052	167	
1053	1053	166	
1054	1054	165	
1055	1055	163	
1056	1056	162	
1057	1057	160	
1058	1058	158	
1059	1059	157	
1060	1060	155	
1061	1061	154	
1062	1062	152	
1063	1063	151	
1064	1064	149	
1065	1065	148	
1066	1066	146	
1067	1067	145	
1068	1068	143	
1069	1069	142	
1070	1070	140	
1071	1071	138	
1072	1072	137	
1073	1073	135	
1074	1074	132	
1075	1075	131	
1076	1076	129	
1077	1077	127	
1078	1078	126	
1079	1079	124	
1080	1080	123	
1081	1081	121	
1082	1082	120	
1083	1083	118	
1084	1084	117	
1085	1085	115	
1086	1086	113	
1087	1087	112	
1088	1088	110	
1089	1089	109	
1090	1090	107	
1091	1091	106	
1092	1092	104	
1093	1093	103	
1094	1094	101	
1095	1095	100	
1096	1096	98	
1097	1097	97	
1098	1098	95	
1099	1099	93	
1100	1100	92	
1101	1101	90	
1102	1102	89	
1103	1103	88	
1104	1104	86	
1105	1105	85	
1106	1106	83	
1107	1107	82	
1108	1108	80	
1109	1109	79	
1110	1110	77	
1111	1111	76	
1112	1112	74	
1113	1113	73	
1114	1114	72	
1115	1115	69	
1116	1116	67	
1117	1117	66	
1118	1118	65	
1119	1119	63	
1120	1120	62	
1121	1121	61	
1122	1122	59	
1123	1123	58	
1124	1124	57	
1125	1125	55	
1126	1126	54	
1127	1127	53	
1128	1128	52	
1129	1129	50	
1130	1130	49	
1131	1131	48	
1132	1132	47	
1133	1133	45	
1134	1134	44	
1135	1135	43	
1136	1136	42	
1137	1137	41	
1138	1138	40	
1139	1139	38	
1140	1140	37	
1141	1141	36	
1142	1142	35	
1143	1143	34	
1144	1144	33	
1145	1145	32	
1146	1146	31	
1147	1147	30	
1148	1148	29	
1149	1149	28	
1150	1150	27	
1151	1151	26	
1152	1152	25	
1153	1153	24	
1154	1154	23	
1155	1155	22	
1156	1156	21	
1157	1157	20	
1158	1158	19	
1159	1159	18	
